,Year,NOC,Host_Country,Bronze,Gold,Silver,Total_Medals,region,Season,Is_Host
0,1896,AUS,Greece,1,2,0,3,,,
1,1896,AUT,Greece,2,2,1,5,,,
2,1896,DEN,Greece,3,1,2,6,,,
3,1896,FRA,Greece,2,5,4,11,,,
4,1896,GBR,Greece,3,3,3,9,,,
5,1896,GER,Greece,2,25,5,32,,,
6,1896,GRE,Greece,20,10,18,48,,,
7,1896,HUN,Greece,3,2,1,6,,,
8,1896,SUI,Greece,0,1,2,3,,,
9,1896,USA,Greece,2,11,7,20,,,
10,1900,AUS,France,3,3,0,6,,,
11,1900,AUT,France,3,0,3,6,,,
12,1900,DEN,France,2,4,3,9,,,
13,1900,FRA,France,82,52,101,235,,,
14,1900,GBR,France,15,59,34,108,,,
15,1900,GER,France,11,14,20,45,,,
16,1900,HUN,France,2,1,2,5,,,
17,1900,SUI,France,1,16,4,21,,,
18,1900,USA,France,17,30,16,63,,,
19,1900,BEL,France,13,6,24,43,,,
20,1900,BOH,France,2,0,1,3,,,
21,1900,CAN,France,1,1,0,2,,,
22,1900,COL,France,0,0,1,1,,,
23,1900,CUB,France,0,1,1,2,,,
24,1900,ESP,France,0,2,0,2,,,
25,1900,HAI,France,0,1,0,1,,,
26,1900,IND,France,0,0,2,2,,,
27,1900,ITA,France,0,3,2,5,,,
28,1900,LUX,France,0,1,0,1,,,
29,1900,MEX,France,3,0,0,3,,,
30,1900,NED,France,16,3,8,27,,,
31,1900,NOR,France,3,0,6,9,,,
32,1900,NZL,France,0,1,0,1,,,
33,1900,SWE,France,1,3,0,4,,,
34,1904,AUS,USA,1,0,3,4,,,
35,1904,AUT,USA,1,2,1,4,,,
36,1904,FRA,USA,0,0,2,2,,,
37,1904,GBR,USA,0,1,1,2,,,
38,1904,GER,USA,7,4,5,16,,,
39,1904,GRE,USA,1,1,0,2,,,
40,1904,HUN,USA,1,2,1,4,,,
41,1904,SUI,USA,2,1,0,3,,,
42,1904,USA,USA,125,128,141,394,,,
43,1904,CAN,USA,12,27,9,48,,,
44,1904,CUB,USA,0,5,0,5,,,
45,1904,NOR,USA,0,2,0,2,,,
46,1906,AUS,Greece,3,0,0,3,,,
47,1906,AUT,Greece,3,3,3,9,,,
48,1906,DEN,Greece,1,14,19,34,,,
49,1906,FRA,Greece,28,20,16,64,,,
50,1906,GBR,Greece,8,9,22,39,,,
51,1906,GER,Greece,6,14,10,30,,,
52,1906,GRE,Greece,30,24,48,102,,,
53,1906,HUN,Greece,3,5,5,13,,,
54,1906,SUI,Greece,1,8,3,12,,,
55,1906,USA,Greece,6,12,6,24,,,
56,1906,BEL,Greece,6,2,3,11,,,
57,1906,BOH,Greece,3,0,0,3,,,
58,1906,CAN,Greece,0,1,1,2,,,
59,1906,ITA,Greece,27,21,8,56,,,
60,1906,NED,Greece,5,0,1,6,,,
61,1906,NOR,Greece,0,20,5,25,,,
62,1906,SWE,Greece,14,2,5,21,,,
63,1906,FIN,Greece,1,2,1,4,,,
64,1908,AUT,UK,1,0,0,1,,,
65,1908,DEN,UK,3,0,14,17,,,
66,1908,FRA,UK,23,12,5,40,,,
67,1908,GBR,UK,90,147,131,368,,,
68,1908,GER,UK,6,4,11,21,,,
69,1908,GRE,UK,1,0,3,4,,,
70,1908,HUN,UK,6,7,7,20,,,
71,1908,USA,UK,15,34,16,65,,,
72,1908,BEL,UK,8,1,24,33,,,
73,1908,BOH,UK,6,0,0,6,,,
74,1908,CAN,UK,30,14,8,52,,,
75,1908,ITA,UK,0,2,6,8,,,
76,1908,NED,UK,16,0,0,16,,,
77,1908,NOR,UK,3,7,32,42,,,
78,1908,SWE,UK,18,48,18,84,,,
79,1908,FIN,UK,28,1,1,30,,,
80,1908,ANZ,UK,2,15,2,19,,,
81,1908,RSA,UK,0,1,1,2,,,
82,1908,RUS,UK,0,1,2,3,,,
83,1912,AUT,Sweden,5,0,9,14,,,
84,1912,DEN,Sweden,33,5,49,87,,,
85,1912,FRA,Sweden,5,10,11,26,,,
86,1912,GBR,Sweden,59,47,64,170,,,
87,1912,GER,Sweden,23,11,19,53,,,
88,1912,GRE,Sweden,1,1,0,2,,,
89,1912,HUN,Sweden,3,10,17,30,,,
90,1912,SUI,Sweden,0,2,0,2,,,
91,1912,USA,Sweden,36,46,25,107,,,
92,1912,BEL,Sweden,11,7,1,19,,,
93,1912,CAN,Sweden,3,3,2,8,,,
94,1912,ITA,Sweden,2,22,1,25,,,
95,1912,NED,Sweden,26,0,0,26,,,
96,1912,NOR,Sweden,34,40,6,80,,,
97,1912,SWE,Sweden,25,103,62,190,,,
98,1912,FIN,Sweden,22,9,40,71,,,
99,1912,ANZ,Sweden,3,5,2,10,,,
100,1912,RSA,Sweden,0,5,2,7,,,
101,1912,RUS,Sweden,9,0,5,14,,,
102,1920,AUS,Belgium,1,0,6,7,,,
103,1920,DEN,Belgium,1,26,44,71,,,
104,1920,FRA,Belgium,57,13,71,141,,,
105,1920,GBR,Belgium,17,52,42,111,,,
106,1920,GRE,Belgium,0,0,5,5,,,
107,1920,SUI,Belgium,21,6,2,29,,,
108,1920,USA,Belgium,38,111,45,194,,,
109,1920,BEL,Belgium,66,57,65,188,,,
110,1920,CAN,Belgium,3,10,3,16,,,
111,1920,ESP,Belgium,0,0,23,23,,,
112,1920,ITA,Belgium,8,67,9,84,,,
113,1920,LUX,Belgium,0,0,1,1,,,
114,1920,NED,Belgium,25,15,10,50,,,
115,1920,NOR,Belgium,27,58,52,137,,,
116,1920,NZL,Belgium,1,0,0,1,,,
117,1920,SWE,Belgium,64,52,38,154,,,
118,1920,FIN,Belgium,17,21,14,52,,,
119,1920,RSA,Belgium,6,3,12,21,,,
120,1920,BRA,Belgium,5,1,1,7,,,
121,1920,EST,Belgium,0,1,2,3,,,
122,1920,JPN,Belgium,0,0,3,3,,,
123,1920,TCH,Belgium,10,0,0,10,,,
124,1924,AUS,France,2,4,5,11,,,
125,1924,AUT,France,1,3,4,8,,,
126,1924,DEN,France,3,2,9,14,,,
127,1924,FRA,France,32,37,51,120,,,
128,1924,GBR,France,30,31,34,95,,,
129,1924,GRE,France,0,1,0,1,,,
130,1924,HUN,France,8,2,12,22,,,
131,1924,SUI,France,22,22,25,69,,,
132,1924,USA,France,50,98,46,194,,,
133,1924,BEL,France,11,3,30,44,,,
134,1924,CAN,France,1,9,19,29,,,
135,1924,HAI,France,5,0,0,5,,,
136,1924,IND,France,0,7,0,7,,,
137,1924,ITA,France,21,25,5,51,,,
138,1924,LUX,France,0,1,1,2,,,
139,1924,NED,France,18,8,1,27,,,
140,1924,NOR,France,9,18,12,39,,,
141,1924,NZL,France,1,0,0,1,,,
142,1924,SWE,France,43,8,30,81,,,
143,1924,FIN,France,18,28,21,67,,,
144,1924,RSA,France,1,1,1,3,,,
145,1924,EST,France,4,1,1,6,,,
146,1924,JPN,France,1,0,0,1,,,
147,1924,TCH,France,5,1,4,10,,,
148,1924,ARG,France,2,5,3,10,,,
149,1924,IRL,France,1,0,1,2,,,
150,1924,MON,France,1,0,0,1,,,
151,1924,NEP,France,0,1,0,1,,,
152,1924,POL,France,1,0,4,5,,,
153,1924,POR,France,4,0,0,4,,,
154,1924,ROU,France,16,0,0,16,,,
155,1924,URU,France,0,14,0,14,,,
156,1924,YUG,France,0,2,0,2,,,
157,1928,AUS,Netherlands,1,1,2,4,,,
158,1928,AUT,Netherlands,2,3,0,5,,,
159,1928,AUT,Switzerland,2,0,4,6,,,
160,1928,DEN,Netherlands,4,6,5,15,,,
161,1928,FRA,Netherlands,14,12,24,50,,,
162,1928,FRA,Switzerland,0,2,0,2,,,
163,1928,GBR,Netherlands,24,7,27,58,,,
164,1928,GBR,Switzerland,1,0,0,1,,,
165,1928,GER,Netherlands,41,21,15,77,,,
166,1928,GER,Switzerland,5,0,0,5,,,
167,1928,HUN,Netherlands,0,10,11,21,,,
168,1928,SUI,Netherlands,4,16,10,30,,,
169,1928,SUI,Switzerland,12,0,0,12,,,
170,1928,USA,Netherlands,17,47,24,88,,,
171,1928,USA,Switzerland,2,6,6,14,,,
172,1928,BEL,Netherlands,4,0,1,5,,,
173,1928,BEL,Switzerland,1,0,0,1,,,
174,1928,CAN,Netherlands,21,7,5,33,,,
175,1928,CAN,Switzerland,0,12,0,12,,,
176,1928,ESP,Netherlands,0,3,0,3,,,
177,1928,HAI,Netherlands,0,0,1,1,,,
178,1928,IND,Netherlands,0,14,0,14,,,
179,1928,ITA,Netherlands,26,24,22,72,,,
180,1928,LUX,Netherlands,0,1,0,1,,,
181,1928,NED,Netherlands,8,20,29,57,,,
182,1928,NOR,Netherlands,1,4,4,9,,,
183,1928,NOR,Switzerland,5,6,4,15,,,
184,1928,NZL,Netherlands,0,1,0,1,,,
185,1928,SWE,Netherlands,22,7,8,37,,,
186,1928,SWE,Switzerland,1,2,13,16,,,
187,1928,FIN,Netherlands,9,8,8,25,,,
188,1928,FIN,Switzerland,1,2,1,4,,,
189,1928,RSA,Netherlands,5,1,0,6,,,
190,1928,EST,Netherlands,6,2,1,9,,,
191,1928,JPN,Netherlands,1,2,6,9,,,
192,1928,TCH,Netherlands,2,2,12,16,,,
193,1928,TCH,Switzerland,1,0,0,1,,,
194,1928,ARG,Netherlands,5,3,18,26,,,
195,1928,IRL,Netherlands,0,1,0,1,,,
196,1928,POL,Netherlands,15,2,3,20,,,
197,1928,POR,Netherlands,6,0,0,6,,,
198,1928,URU,Netherlands,0,17,0,17,,,
199,1928,YUG,Netherlands,10,1,1,12,,,
200,1928,CHI,Netherlands,0,0,1,1,,,
201,1928,EGY,Netherlands,1,2,1,4,,,
202,1928,PHI,Netherlands,1,0,0,1,,,
203,1932,AUS,USA,1,3,1,5,,,
204,1932,AUT,USA,3,2,2,7,,,
205,1932,DEN,USA,4,0,7,11,,,
206,1932,FRA,USA,6,28,8,42,,,
207,1932,GBR,USA,14,9,12,35,,,
208,1932,GER,USA,21,10,26,57,,,
209,1932,HUN,USA,10,20,5,35,,,
210,1932,SUI,USA,0,0,3,3,,,
211,1932,USA,USA,64,91,68,223,,,
212,1932,BEL,USA,1,0,0,1,,,
213,1932,CAN,USA,29,16,14,59,,,
214,1932,ESP,USA,1,0,0,1,,,
215,1932,IND,USA,0,15,0,15,,,
216,1932,ITA,USA,18,21,38,77,,,
217,1932,MEX,USA,0,0,2,2,,,
218,1932,NED,USA,1,2,10,13,,,
219,1932,NOR,USA,3,3,4,10,,,
220,1932,NZL,USA,0,0,2,2,,,
221,1932,SWE,USA,12,14,9,35,,,
222,1932,FIN,USA,17,6,9,32,,,
223,1932,RSA,USA,3,2,0,5,,,
224,1932,JPN,USA,4,10,17,31,,,
225,1932,TCH,USA,2,1,3,6,,,
226,1932,ARG,USA,0,3,1,4,,,
227,1932,IRL,USA,0,2,0,2,,,
228,1932,POL,USA,14,3,4,21,,,
229,1932,URU,USA,1,0,0,1,,,
230,1932,PHI,USA,3,0,0,3,,,
231,1932,LAT,USA,0,0,1,1,,,
232,1936,AUS,Germany,1,0,0,1,,,
233,1936,AUT,Germany,9,7,44,60,,,
234,1936,DEN,Germany,3,0,3,6,,,
235,1936,FRA,Germany,19,13,13,45,,,
236,1936,GBR,Germany,12,24,17,53,,,
237,1936,GER,Germany,61,97,73,231,,,
238,1936,HUN,Germany,17,25,1,43,,,
239,1936,SUI,Germany,24,9,29,62,,,
240,1936,USA,Germany,30,53,29,112,,,
241,1936,BEL,Germany,14,0,0,14,,,
242,1936,CAN,Germany,9,1,25,35,,,
243,1936,IND,Germany,0,19,0,19,,,
244,1936,ITA,Germany,5,37,34,76,,,
245,1936,MEX,Germany,16,0,0,16,,,
246,1936,NED,Germany,21,9,7,37,,,
247,1936,NOR,Germany,18,8,20,46,,,
248,1936,NZL,Germany,0,1,0,1,,,
249,1936,SWE,Germany,23,9,13,45,,,
250,1936,FIN,Germany,16,12,8,36,,,
251,1936,RSA,Germany,0,0,1,1,,,
252,1936,EST,Germany,3,2,2,7,,,
253,1936,JPN,Germany,10,9,4,23,,,
254,1936,TCH,Germany,1,5,12,18,,,
255,1936,ARG,Germany,4,5,2,11,,,
256,1936,POL,Germany,6,0,6,12,,,
257,1936,POR,Germany,3,0,0,3,,,
258,1936,ROU,Germany,0,0,1,1,,,
259,1936,YUG,Germany,0,0,1,1,,,
260,1936,EGY,Germany,2,2,1,5,,,
261,1936,PHI,Germany,1,0,0,1,,,
262,1936,LAT,Germany,1,0,1,2,,,
263,1936,TUR,Germany,1,1,0,2,,,
264,1948,AUS,UK,5,2,9,16,,,
265,1948,AUT,Switzerland,4,1,3,8,,,
266,1948,AUT,UK,4,2,2,8,,,
267,1948,DEN,UK,27,7,17,51,,,
268,1948,FRA,Switzerland,2,2,1,5,,,
269,1948,FRA,UK,24,26,22,72,,,
270,1948,GBR,Switzerland,2,0,0,2,,,
271,1948,GBR,UK,12,7,42,61,,,
272,1948,HUN,Switzerland,0,0,2,2,,,
273,1948,HUN,UK,22,15,25,62,,,
274,1948,SUI,Switzerland,19,4,5,28,,,
275,1948,SUI,UK,6,5,25,36,,,
276,1948,USA,Switzerland,6,6,4,16,,,
277,1948,USA,UK,35,87,30,152,,,
278,1948,BEL,Switzerland,0,2,4,6,,,
279,1948,BEL,UK,8,5,2,15,,,
280,1948,CAN,Switzerland,2,13,0,15,,,
281,1948,CAN,UK,5,0,2,7,,,
282,1948,CUB,UK,0,0,2,2,,,
283,1948,ESP,UK,0,0,3,3,,,
284,1948,IND,UK,0,20,0,20,,,
285,1948,ITA,Switzerland,0,1,0,1,,,
286,1948,ITA,UK,14,21,32,67,,,
287,1948,MEX,UK,4,4,1,9,,,
288,1948,NED,UK,32,8,2,42,,,
289,1948,NOR,Switzerland,6,4,3,13,,,
290,1948,NOR,UK,11,3,4,18,,,
291,1948,SWE,Switzerland,3,7,3,13,,,
292,1948,SWE,UK,30,30,15,75,,,
293,1948,FIN,Switzerland,2,1,6,9,,,
294,1948,FIN,UK,8,17,8,33,,,
295,1948,RSA,UK,2,2,2,6,,,
296,1948,BRA,UK,10,0,0,10,,,
297,1948,TCH,Switzerland,0,0,17,17,,,
298,1948,TCH,UK,3,14,3,20,,,
299,1948,ARG,UK,1,3,7,11,,,
300,1948,IRL,UK,1,0,0,1,,,
301,1948,POL,UK,1,1,0,2,,,
302,1948,POR,UK,3,0,2,5,,,
303,1948,URU,UK,2,0,1,3,,,
304,1948,YUG,UK,0,0,16,16,,,
305,1948,EGY,UK,1,2,2,5,,,
306,1948,TUR,UK,2,6,4,12,,,
307,1948,IRI,UK,1,0,0,1,,,
308,1948,JAM,UK,0,1,2,3,,,
309,1948,KOR,UK,2,0,0,2,,,
310,1948,PAN,UK,2,0,0,2,,,
311,1948,PER,UK,0,1,0,1,,,
312,1948,PUR,UK,1,0,0,1,,,
313,1948,SRI,UK,0,0,1,1,,,
314,1948,TTO,UK,0,0,1,1,,,
315,1952,AUS,Finland,11,7,2,20,,,
316,1952,AUT,Finland,2,0,1,3,,,
317,1952,AUT,Norway,2,2,4,8,,,
318,1952,DEN,Finland,5,3,1,9,,,
319,1952,FRA,Finland,17,14,9,40,,,
320,1952,FRA,Norway,1,0,0,1,,,
321,1952,GBR,Finland,26,3,2,31,,,
322,1952,GBR,Norway,0,1,0,1,,,
323,1952,GER,Finland,26,0,14,40,,,
324,1952,GER,Norway,2,8,2,12,,,
325,1952,HUN,Finland,32,53,17,102,,,
326,1952,HUN,Norway,2,0,0,2,,,
327,1952,SUI,Finland,12,2,19,33,,,
328,1952,SUI,Norway,6,0,0,6,,,
329,1952,USA,Finland,28,83,23,134,,,
330,1952,USA,Norway,1,4,25,30,,,
331,1952,BEL,Finland,0,5,3,8,,,
332,1952,CAN,Finland,0,1,3,4,,,
333,1952,CAN,Norway,1,16,0,17,,,
334,1952,ESP,Finland,0,0,1,1,,,
335,1952,IND,Finland,1,14,0,15,,,
336,1952,ITA,Finland,15,17,22,54,,,
337,1952,ITA,Norway,1,1,0,2,,,
338,1952,LUX,Finland,0,1,0,1,,,
339,1952,MEX,Finland,0,0,1,1,,,
340,1952,NED,Finland,0,0,18,18,,,
341,1952,NED,Norway,0,0,3,3,,,
342,1952,NOR,Finland,0,5,8,13,,,
343,1952,NOR,Norway,6,7,6,19,,,
344,1952,NZL,Finland,2,1,0,3,,,
345,1952,SWE,Finland,23,23,24,70,,,
346,1952,SWE,Norway,23,0,0,23,,,
347,1952,FIN,Finland,29,8,3,40,,,
348,1952,FIN,Norway,2,6,4,12,,,
349,1952,RSA,Finland,4,2,8,14,,,
350,1952,BRA,Finland,2,1,0,3,,,
351,1952,JPN,Finland,2,1,9,12,,,
352,1952,TCH,Finland,10,11,4,25,,,
353,1952,ARG,Finland,2,2,2,6,,,
354,1952,IRL,Finland,0,0,1,1,,,
355,1952,POL,Finland,1,1,2,4,,,
356,1952,POR,Finland,2,0,0,2,,,
357,1952,ROU,Finland,2,1,1,4,,,
358,1952,URU,Finland,14,0,0,14,,,
359,1952,YUG,Finland,0,4,20,24,,,
360,1952,CHI,Finland,0,0,4,4,,,
361,1952,EGY,Finland,1,0,0,1,,,
362,1952,TUR,Finland,1,2,0,3,,,
363,1952,IRI,Finland,4,0,3,7,,,
364,1952,JAM,Finland,0,5,3,8,,,
365,1952,KOR,Finland,2,0,0,2,,,
366,1952,TTO,Finland,2,0,0,2,,,
367,1952,BUL,Finland,1,0,0,1,,,
368,1952,LIB,Finland,1,0,1,2,,,
369,1952,URS,Finland,19,36,62,117,,,
370,1952,VEN,Finland,1,0,0,1,,,
371,1956,AUS,Australia,26,28,13,67,,,
372,1956,AUT,Australia,4,0,0,4,,,
373,1956,AUT,Italy,4,5,3,12,,,
374,1956,DEN,Australia,1,1,3,5,,,
375,1956,DEN,Sweden,0,0,1,1,,,
376,1956,FRA,Australia,13,7,13,33,,,
377,1956,GBR,Australia,18,5,16,39,,,
378,1956,GBR,Sweden,4,3,0,7,,,
379,1956,GER,Australia,22,5,13,40,,,
380,1956,GER,Italy,1,1,0,2,,,
381,1956,GER,Sweden,1,4,7,12,,,
382,1956,GRE,Australia,1,0,0,1,,,
383,1956,HUN,Australia,14,30,20,64,,,
384,1956,HUN,Italy,2,0,0,2,,,
385,1956,SUI,Italy,2,6,2,10,,,
386,1956,SUI,Sweden,3,0,0,3,,,
387,1956,USA,Australia,20,61,42,123,,,
388,1956,USA,Italy,5,2,19,26,,,
389,1956,BEL,Australia,0,0,2,2,,,
390,1956,CAN,Australia,2,5,9,16,,,
391,1956,CAN,Italy,18,0,2,20,,,
392,1956,CAN,Sweden,3,0,0,3,,,
393,1956,IND,Australia,0,17,0,17,,,
394,1956,ITA,Australia,9,26,7,42,,,
395,1956,ITA,Italy,0,2,6,8,,,
396,1956,ITA,Sweden,1,0,4,5,,,
397,1956,MEX,Australia,1,1,0,2,,,
398,1956,NOR,Australia,2,1,0,3,,,
399,1956,NOR,Italy,1,2,1,4,,,
400,1956,NZL,Australia,0,3,0,3,,,
401,1956,SWE,Australia,6,9,14,29,,,
402,1956,SWE,Italy,9,2,4,15,,,
403,1956,SWE,Sweden,0,5,0,5,,,
404,1956,FIN,Australia,22,3,1,26,,,
405,1956,FIN,Italy,1,5,6,12,,,
406,1956,RSA,Australia,7,0,0,7,,,
407,1956,BRA,Australia,0,1,0,1,,,
408,1956,JPN,Australia,5,4,15,24,,,
409,1956,JPN,Italy,0,0,1,1,,,
410,1956,TCH,Australia,1,1,5,7,,,
411,1956,ARG,Australia,1,0,1,2,,,
412,1956,IRL,Australia,3,1,1,5,,,
413,1956,POL,Australia,9,1,9,19,,,
414,1956,POL,Italy,1,0,0,1,,,
415,1956,ROU,Australia,10,6,3,19,,,
416,1956,URU,Australia,12,0,0,12,,,
417,1956,YUG,Australia,0,0,23,23,,,
